mineralName,discoveryYear
Marsturite,1978
Charoite,1978
Emeleusite,1978
Maghagendorfite,1978
Fluoro-riebeckite,1978
Sacrofanite,1979
Giuseppettite,1979
Ferrowyllieite,1979
Rosemaryite,1979
Tancoite,1979
Amicite,1979
Wicksite,1979
Tisinalite,1979
Johnsomervilleite,1979
Imandrite,1979
Nacaphite,1979
Povondraite,1979
Olympite,1979
Sidorenkite,1979
Saneroite,1979
Dorfmanite,1979
Ertixiite,1979
Preiswerkite,1980
Paranatrolite,1980
Johillerite,1980
Cámaraite,1980
Olgite,1980
Kapundaite,1980
Gregoryite,1980
Loudounite,1980
Petarasite,1980
Mendozavilite-NaFe,1980
Erdite,1980
Eifelite,1980
Sabinaite,1980
Chessexite,1981
Wonesite,1981
Qingheiite,1981
Sosedkoite,1981
Peisleyite,1981
Grischunite,1981
Mcnearite,1981
Nastrophite,1981
Janhaugite,1981
Arctite,1981
Cesanite,1981
Eugsterite,1981
Clinophosinaite,1981
Steacyite,1981
Ferrotychite,1981
Zakharovite,1981
Nahpoite,1981
Natrotantite,1981
Jeffreyite,1982
Gobbinsite,1982
Khanneshite,1982
Strontiojoaquinite,1982
Jinshajiangite,1982
Nabaphite,1982
Sobolevite,1982
Piypite,1982
Caswellsilverite,1982
Shafranovskite,1982
Bonshtedtite,1982
Konyaite,1982
Natrite,1982
Mopungite,1982
Jervisite,1982
Terskite,1982
Eirikite,1983
Barentsite,1983
Stronalsite,1983
Walentaite,1983
Natropharmacosiderite,1983
Tiptopite,1983
Sverigeite,1983
Nefedovite,1983
Canaphite,1983
Coyoteite,1983
Munirite,1983
Bannermanite,1983
Sadanagaite,1984
Perlialite,1984
Minehillite,1984
Bobfergusonite,1984
Zimbabweite,1984
Perraultite,1984
Yakhontovite,1984
Denisovite,1984
Kvanefjeldite,1984
Wheatleyite,1984
Franconite,1984
Natalyite,1984
Shigaite,1985
Diaoyudaoite,1985
Natronambulite,1985
Zemkorite,1985
Lalondeite,1985
Irtyshite,1985
Kambaldaite,1985
Thornasite,1985
Georgechaoite,1985
Voggite,1985
Hochelagaite,1986
Paravinogradovite,1986
Olenite,1986
Johninnesite,1986
Palenzonaite,1986
Haineaultite,1986
Iquiqueite,1986
Cesplumtantite,1986
Cetineite,1986
Delindeite,1987
Maxwellite,1987
Howardevansite,1987
Hectorfloresite,1987
Poudretteite,1987
Tuliokite,1988
Burpalite,1988
Chvilevaite,1988
Wilkinsonite,1988
Yoshiokaite,1989
Wooldridgeite,1989
Lintisite,1989
Namansilite,1989
Grenmarite,1989
Sitinakite,1989
Kukisvumite,1989
Tounkite,1990
Bystrite,1990
Quadridavyne,1990
Fluornatrocoulsellite,1990
Boggsite,1990
Cancrisilite,1990
Hydroxycancrinite,1990
Mazzite-Na,1990
Montesommaite,1990
Alluaivite,1990
Girvasite,1990
Nalipoite,1990
Silinaite,1990
Manganotychite,1990
Rouvilleite,1991
Sheldrickite,1991
Petersenite-(Ce),1991
Tiettaite,1991
Metamunirite,1991
Simmonsite,1992
Franklinphilite,1992
Polyphite,1992
Quadruphite,1992
Calcioburbankite,1992
Ferri-leakeite,1992
Manaksite,1992
Qilianshanite,1992
Adamsite-(Y),1992
Paranatisite,1992
Bellbergite,1993
Wycheproofite,1993
Nickenichite,1993
Strakhovite,1993
Chladniite,1993
Tuzlaite,1993
Potassic-mangani-leakeite,1993
Megacyclite,1993
Altisite,1994
Saliotite,1994
Mahnertite,1994
Mccrillisite,1994
Fuenzalidaite,1994
Carlosruizite,1994
Gaultite,1994
Crawfordite,1994
Selwynite,1995
Lukechangite-(Ce),1995
Kanonerovite,1995
Mangano-mangani-ungarettiite,1995
Esperanzaite,1998
Lemanskiite,1998
Ferro-ferri-obertiite,1998
Fluorcalcioroméite,1999
Dobrovolskyite,2000
Watatsumiite,2000
Ellingsenite,2002
Alsakharovite-Zn,2002
Princivalleite,2003
Yazganite,2003
Bussyite-(Ce),2004
Jahnsite-(NaMnMg),2005
Hundholmenite-(Y),2006
Yakovenchukite-(Y),2006
Jadarite,2006
Aiolosite,2008
Siudaite,2008
Hughesite,2009
Fontarnauite,2009
Rakovanite,2010
Oxo-magnesio-hastingsite,2011
Belakovskiite,2013
Hydroterskite,2013
Ferri-kaersutite,2014
Itelmenite,2014
Arsenatrotitanite,2015
Antofagastaite,2016
Majzlanite,2016
Odikhinchaite,2020
Colomeraite,2021
