mineralName,discoveryYear
Yugawaralite,1952
Osumilite,1953
Ekanite,1953
Pyrosmalite-(Mn),1953
Kurumsakite,1954
Corrensite,1954
Indialite,1954
Shcherbakovite,1954
Beryllite,1954
Götzenite,1954
Reedmergnerite,1954
Coffinite,1954
Coesite,1954
Wairakite,1955
Nekoite,1955
Gonyerite,1955
Nenadkevichite,1955
Vinogradovite,1956
Niocalite,1956
Kupletskite,1956
Karpinskite,1956
Boltwoodite,1956
Jonesite,1957
Ferro-glaucophane,1957
Bikitaite,1957
Trikalsilite,1957
Sphaerobertrandite,1957
Kirschsteinite,1957
Combeite,1957
Mountainite,1957
Rhodesite,1957
Jagoite,1957
Ajoite,1958
Hsianghualite,1958
Seidozerite,1958
Delhayelite,1959
Yoderite,1959
Baotite,1959
Bafertisite,1959
Yoshimuraite,1959
Batisite,1959
Gugiaite,1959
Haiweeite,1959
Lobanovite,1959
Fenaksite,1959
Papagoite,1960
Garronite-Ca,1960
Innelite,1960
Fresnoite,1960
Loughlinite,1960
Weeksite,1960
Zincsilite,1960
Ferro-pargasite,1961
Tacharanite,1961
Kimzeyite,1961
Kilchoanite,1961
Wenkite,1962
Tugtupite,1962
Sudoite,1962
Imogolite,1962
Traskite,1962
Verplanckite,1962
Sørensenite,1962
Thorosteenstrupine,1962
Rosenhahnite,1962
Keldyshite,1962
Stishovite,1962
Tosudite,1963
Buddingtonite,1963
Asbecasite,1963
Goldmanite,1963
Iranite,1963
Edgarbaileyite,1963
Sonolite,1963
Afghanite,1964
Potassic-ferro-ferri-taramite,1964
Zussmanite,1964
Howieite,1964
Deerite,1964
Muirite,1964
Macdonaldite,1964
Walstromite,1964
Krauskopfite,1964
Pabstite,1964
Liberite,1964
Wayneburnhamite,1964
Malayaite,1964
Niobophyllite,1964
Sinoite,1964
Magbasite,1965
Barytolamprophyllite,1965
Rustumite,1965
Tinaksite,1965
Fedorite,1965
Suolunite,1965
Dellaite,1965
Merrihueite,1965
Perryite,1965
Hilairite,1965
Eakerite,1966
Fluor-buergerite,1966
Hendricksite,1966
Ericssonite,1966
Proshchenkoite-(Y),1966
Tungusite,1966
Jennite,1966
Welinite,1966
Roedderite,1966
Anandite,1967
Bannisterite,1967
Brindleyite,1967
Parwelite,1967
Tienshanite,1967
Cavansite,1967
Krinovite,1967
Magadiite,1967
Kenyaite,1967
Aliettite,1968
Wickenburgite,1968
Mukhinite,1968
Sekaninaite,1968
Yagiite,1968
Nimite,1968
Joesmithite,1968
Henritermierite,1968
Knorringite,1968
Tuperssuatsiaite,1968
Sogdianite,1968
Willemseite,1968
Roggianite,1969
Akatoreite,1969
Tiragalloite,1969
Alflarsenite,1969
Kinoite,1969
Caysichite-(Y),1969
Lemoynite,1969
Ringwoodite,1969
Mangano-ferri-eckermannite,1969
Manganhumite,1969
Pecoraite,1969
Chiavennite,1970
Pyroxferroite,1970
Majorite,1970
Silhydrite,1970
Holtite,1971
Pellyite,1971
Tranquillityite,1971
Komarovite,1971
Carletonite,1971
Hydroxylellestadite,1971
Zircophyllite,1971
Chernykhite,1972
Tschernichite,1972
Ilmajokite-(Ce),1972
Andrémeyerite,1972
Nambulite,1972
Zorite,1972
Kanemite,1972
Kinoshitalite,1973
