mineralName,discoveryYear
Magnesiotaaffeite-6N’3S,1967
Tunisite,1967
Bannisterite,1967
Satimolite,1967
Brindleyite,1967
Dresserite,1968
Aliettite,1968
Wickenburgite,1968
Mukhinite,1968
Sekaninaite,1968
Yagiite,1968
Nimite,1968
Kemmlitzite,1969
Roggianite,1969
Akatoreite,1969
Rankamaite,1969
Wermlandite,1970
Ernstite,1970
Metavanuralite,1970
Micheelsenite,1971
Zapatalite,1971
Indigirite,1971
Holtite,1971
Chernykhite,1972
Wyllieite,1972
Tschernichite,1972
Mpororoite,1972
Eylettersite,1972
Bjarebyite,1973
Kinoshitalite,1973
Jagowerite,1973
Welshite,1973
Calcjarlite,1973
Foggite,1973
Bicchulite,1973
Swinefordite,1973
Khademite,1973
Goedkenite,1973
Surinamite,1974
Mazzite-Mg,1974
Creaseyite,1974
Kellyite,1974
Barrerite,1974
Carrboydite,1974
Jurbanite,1974
Balipholite,1975
Liottite,1975
Axinite-(Mg),1975
Vertumnite,1975
Vuagnatite,1975
Cowlesite,1975
Meixnerite,1975
Senegalite,1975
Kegelite,1975
Luetheite,1976
Kulanite,1976
Hydrodresserite,1976
Ferrochiavennite,1976
Franzinite,1976
Gatumbaite,1976
Tuscanite,1976
Spheniscidite,1976
Burangaite,1976
Burckhardtite,1976
Kanonaite,1976
Furongite,1976
Francoanellite,1976
Kraisslite,1977
Penikisite,1977
Merlinoite,1977
Surite,1977
Eggletonite,1977
Viitaniemiite,1977
Chantalite,1977
Perhamite,1977
Gormanite,1977
Matulaite,1977
Sasaite,1977
Magnesiocarpholite,1977
Zaherite,1977
Slawsonite,1977
Strontiodresserite,1977
Kleemanite,1977
Goudeyite,1978
Curetonite,1978
Loveringite,1978
Ferro-hornblende,1978
Aubertite,1978
Ferro-holmquistite,1978
Xiangjiangite,1978
Panunzite,1978
Threadgoldite,1978
Upalite,1978
Phuralumite,1978
Bahianite,1978
Aluminium,1978
Sacrofanite,1979
Giuseppettite,1979
Ferrowyllieite,1979
Rosemaryite,1979
Kingsmountite,1979
Carlhintzeite,1979
Goosecreekite,1979
Hydrodelhayelite,1979
Hydrombobomkulite,1979
Mbobomkulite,1979
Drugmanite,1979
Tancoite,1979
Wilcoxite,1979
Amicite,1979
Ranunculite,1979
Pharmacoalumite,1980
Colquiriite,1980
Karlite,1980
Sveite,1980
Kalborsite,1980
Preiswerkite,1980
Kulkeite,1980
Paranatrolite,1980
Nickelalumite,1980
Mundite,1980
Schlossmacherite,1980
Arsenocrandallite,1981
Philipsbornite,1981
Chessexite,1981
Charlesite,1981
Kamaishilite,1981
Wonesite,1981
Qingheiite,1981
Sosedkoite,1981
Peisleyite,1981
Triangulite,1981
Alumotantite,1981
Bulachite,1982
Jeffreyite,1982
Almarudite,1982
Katoite,1982
Chlormagaluminite,1982
Gobbinsite,1982
Tobelite,1982
Wrightite,1983
Filatovite,1983
Høgtuvaite,1983
Eirikite,1983
Svyazhinite,1983
Lun'okite,1983
Lannonite,1983
Mammothite,1983
Carboirite,1983
Yushkinite,1983
Barentsite,1983
Stronalsite,1983
Tinsleyite,1983
Hotsonite,1983
Lithosite,1983
Arsenogoyazite,1984
Sadanagaite,1984
Perlialite,1984
Minehillite,1984
Willhendersonite,1984
Cualstibite,1984
Lennilenapeite,1984
Paulkerrite,1984
Bobfergusonite,1984
Aheylite,1984
Ellenbergerite,1984
Mantienneite,1984
Moreauite,1984
Arsenoflorencite-(Ce),1985
Gerdtremmelite,1985
Cupalite,1985
Khatyrkite,1985
Carlosturanite,1985
Zincovoltaite,1985
Shigaite,1985
Diaoyudaoite,1985
Doyleite,1985
Montroyalite,1985
Hochelagaite,1986
Bearthite,1986
Peprossiite-(Ce),1986
Mathewrogersite,1986
Chestermanite,1986
Paramendozavilite,1986
Paravinogradovite,1986
Mcauslanite,1986
Olenite,1986
Zharchikhite,1986
Vantasselite,1986
Ammonioleucite,1986
Althupite,1986
Lourenswalsite,1987
Delindeite,1987
Wadalite,1987
Amstallite,1987
Dorrite,1987
Esseneite,1987
Klyuchevskite,1987
Sieleckiite,1987
Godovikovite,1987
Angastonite,1988
Maricopaite,1988
Svyatoslavite,1988
Nanpingite,1988
Werdingite,1988
Baileychlore,1988
Ammonioalunite,1988
Aravaipaite,1988
Feruvite,1989
Vyalsovite,1989
Piemontite-(Sr),1989
Yoshiokaite,1989
Dmisteinbergite,1989
Mangangordonite,1989
Tounkite,1990
Bystrite,1990
Quadridavyne,1990
Fluornatrocoulsellite,1990
Boggsite,1990
Camérolaite,1990
Lunijianlaite,1990
Cancrisilite,1990
Hydroxycancrinite,1990
Mazzite-Na,1990
Montesommaite,1990
Arsenogorceixite,1991
Krasnovite,1991
Walthierite,1991
Coombsite,1991
Boromuscovite,1991
Huangite,1992
Nevadaite,1992
Simmonsite,1992
Franklinphilite,1992
Rosenbergite,1992
Bellbergite,1993
Alumoklyuchevskite,1993
Foitite,1993
Wycheproofite,1993
Artroeite,1993
Tsaregorodtsevite,1993
Grossite,1994
Karasugite,1994
Altisite,1994
Wupatkiite,1994
Saliotite,1994
Selwynite,1995
Magnesiodumortierite,1995
Dozyite,1995
Itoigawaite,1996
Ferroaluminoceladonite,1997
Esperanzaite,1998
Pezzottaite,2002
Princivalleite,2003
Hundholmenite-(Y),2006
Oskarssonite,2009
Cossaite,2009
Hughesite,2009
Oxo-magnesio-hastingsite,2011
Shulamitite,2011
Adrianite,2014
Ferri-kaersutite,2014
Kruijenite,2016
Chrysocolla,315
Beryl,77
Kaolinite,
Direnzoite,
