"mineralName","formula","discoveryYear"
"Lintisite","LiNa<sub>3</sub>Ti<sub>2</sub>(Si<sub>2</sub>O<sub>6</sub>)<sub>2</sub>O<sub>2</sub>&middot;2H<sub>2</sub>O","1989"
"Lunijianlaite","Li<sub>0.7</sub>Al<sub>6.2</sub>(AlSi<sub>7</sub>O<sub>20</sub>)(OH,O)<sub>10</sub>","1990"
"Lithiomarsturite","LiCaMn<sub>3</sub>Si<sub>5</sub>O<sub>14</sub>(OH)","1990"
"Nalipoite","NaLi<sub>2</sub>PO<sub>4</sub>","1990"
"Silinaite","NaLiSi<sub>2</sub>O<sub>5</sub>&middot;2H<sub>2</sub>O","1990"
"Lithiowodginite","LiTa<sub>3</sub>O<sub>8</sub>","1990"
"Simmonsite","Na<sub>2</sub>LiAlF<sub>6</sub>","1992"
"Ferri-leakeite","[Na][Na<sub>2</sub>][Mg<sub>2</sub>Fe<sup>3+</sup><sub>2</sub>Li]Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","1992"
"Potassic-mangani-leakeite","[(Na,K)][Na<sub>2</sub>][Mg<sub>2</sub>Mn<sup>3+</sup><sub>2</sub>Li]Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","1993"
"Saliotite","(Li,Na)Al<sub>3</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>5</sub>","1994"
"Mccrillisite","NaCs(Be,Li)Zr<sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>&middot;1-2H<sub>2</sub>O","1994"
"Watatsumiite","Na<sub>2</sub>KLi(Mn<sup>2+</sup>,Fe<sup>2+</sup>)<sub>2</sub>V<sup>4+</sup><sub>2</sub>[Si<sub>8</sub>O<sub>24</sub>]","2000"
"Pezzottaite","Cs(Be<sub>2</sub>Li)Al<sub>2</sub>(Si<sub>6</sub>O<sub>18</sub>)","2002"
"Jadarite","LiNaSiB<sub>3</sub>O<sub>7</sub>(OH)","2006"
