"mineralName","formula","discoveryYear"
"Haxonite","(Fe,Ni)<sub>23</sub>C<sub>6</sub>","1971"
"Hydrohonessite","(Ni<sub>1-x</sub>Fe<sup>3+</sup><sub>x</sub>)(OH)<sub>2</sub>(SO<sub>4</sub>)<sub>x/2</sub>&middot;nH<sub>2</sub>O","1971"
"Haapalaite","(Fe<sup>2+</sup>,Ni)<sub>2</sub>(Mg,Fe<sup>2+</sup>)<sub>1.61</sub>S<sub>2</sub>(OH)<sub>3.22</sub>","1973"
"Liebenbergite","Ni<sub>2</sub>SiO<sub>4</sub>","1973"
"Carrboydite","(Ni<sub>1-x</sub>Al<sub>x</sub>)(SO<sub>4</sub>)<sub>x/2</sub>(OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1974"
"Ruthenarsenite","(Ru,Ni)As","1974"
"Bonaccordite","Ni<sub>2</sub>Fe<sup>3+</sup>(BO<sub>3</sub>)O<sub>2</sub>","1974"
"Krutovite","NiAs<sub>2</sub>","1975"
"Abelsonite","Ni(C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>)","1975"
"Majakite","PdNiAs","1976"
"Nickelzippeite","Ni<sub>2</sub>(UO<sub>2</sub>)<sub>6</sub>(SO<sub>4</sub>)<sub>3</sub>(OH)<sub>10</sub>&middot;16H<sub>2</sub>O ","1976"
"Argentopentlandite","Ag(Fe,Ni)<sub>8</sub>S<sub>8</sub>","1977"
"Fletcherite","CuNi<sub>2</sub>S<sub>4</sub>","1977"
"Otwayite","Ni<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>2</sub>&middot;H<sub>2</sub>O","1977"
"Bismutohauchecornite","Ni<sub>9</sub>Bi<sub>2</sub>S<sub>8</sub>","1978"
"Tellurohauchecornite","Ni<sub>9</sub>Bi(Te,Bi)S<sub>8</sub>","1978"
"Nullaginite","Ni<sub>2</sub>(CO<sub>3</sub>)(OH)<sub>2</sub>","1978"
"Tučekite","Ni<sub>9</sub>Sb<sub>2</sub>S<sub>8</sub>","1978"
"Hydrombobomkulite","(Ni,Cu)Al<sub>4</sub>((NO<sub>3</sub>)<sub>2</sub>,SO<sub>4</sub>)(OH)<sub>12</sub>&middot;13-14H<sub>2</sub>O","1979"
"Mbobomkulite","(Ni,Cu)Al<sub>4</sub>((NO<sub>3</sub>)<sub>2</sub>,SO<sub>4</sub>)(OH)<sub>12</sub>&middot;3H<sub>2</sub>O","1979"
"Thalfenisite","Tl<sub>6</sub>(Fe,Ni,Cu)<sub>25</sub>S<sub>26</sub>Cl","1979"
"Nickelbischofite","NiCl<sub>2</sub>&middot;6H<sub>2</sub>O","1979"
"Tetrataenite","FeNi","1979"
"Nickelalumite","NiAl<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>12</sub>(H<sub>2</sub>O)<sub>3</sub>","1980"
"Arsenohauchecornite","Ni<sub>18</sub>Bi<sub>3</sub>AsS<sub>16</sub>","1980"
"Comblainite","Ni<sub>4</sub>Co<sub>2</sub>(OH)<sub>12</sub>[CO<sub>3</sub>]&middot;3H<sub>2</sub>O","1980"
"Theophrastite","Ni(OH)<sub>2</sub>","1980"
"Vozhminite","(Ni,Co)<sub>4</sub>(As,Sb)S<sub>2</sub>","1981"
"Roaldite","(Fe,Ni)<sub>4</sub>N","1981"
"Dwornikite","Ni(SO<sub>4</sub>)&middot;H<sub>2</sub>O","1981"
"Ferronickelplatinum","Pt<sub>2</sub>FeNi","1983"
"Lapieite","NiCuSbS<sub>3</sub>","1984"
"Nickelaustinite","CaNi(AsO<sub>4</sub>)(OH)","1985"
"Kharaelakhite","(Cu,Pt,Pb,Fe,Ni)<sub>9</sub>S<sub>8</sub>","1985"
