"mineralName","formula","discoveryYear"
"Scolecite","CaAl<sub>2</sub>Si<sub>3</sub>O<sub>10</sub>&middot;3H<sub>2</sub>O","1813"
"Cordierite","(Mg,Fe)<sub>2</sub>Al<sub>3</sub>(AlSi<sub>5</sub>O<sub>18</sub>)","1813"
"Humite","Mg<sub>7</sub>(SiO<sub>4</sub>)<sub>3</sub>F<sub>2</sub>","1813"
"Pargasite","NaCa<sub>2</sub>(Mg<sub>4</sub>Al)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>","1814"
"Omphacite","(Na<sub>a</sub>Ca<sub>b</sub>Fe<sup>2+</sup><sub>c</sub>Mg<sub>d</sub>)(Al<sub>e</sub>Fe<sup>3+</sup><sub>f</sub>Fe<sup>2+</sup><sub>g</sub>Mg<sub>h</sub>)Si<sub>2</sub>O<sub>6</sub>","1815"
"Gehlenite","Ca<sub>2</sub>Al[AlSiO<sub>7</sub>]","1815"
"Albite","Na(AlSi<sub>3</sub>O<sub>8</sub>)","1815"
"Mesolite","Na<sub>2</sub>Ca<sub>2</sub>Si<sub>9</sub>Al<sub>6</sub>O<sub>30</sub>&middot;8H<sub>2</sub>O","1816"
"Allophane","(Al<sub>2</sub>O<sub>3</sub>)(SiO<sub>2</sub>)<sub>1.3-2</sub>&middot;2.5-3H<sub>2</sub>O","1816"
"Carpholite","Mn<sup>2+</sup>Al<sub>2</sub>(Si<sub>2</sub>O<sub>6</sub>)(OH)<sub>4</sub>","1817"
"Chondrodite","Mg<sub>5</sub>(SiO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>","1817"
"Eudialyte","Na<sub>15</sub>Ca<sub>6</sub>Fe<sub>3</sub>Zr<sub>3</sub>Si(Si<sub>25</sub>O<sub>73</sub>)(O,OH,H<sub>2</sub>O)<sub>3</sub>(Cl,OH)<sub>2</sub>","1819"
"Hedenbergite","CaFe<sup>2+</sup>Si<sub>2</sub>O<sub>6</sub>","1819"
"Rhodonite","CaMn<sub>3</sub>Mn[Si<sub>5</sub>O<sub>15</sub>]","1819"
"Thomsonite-Ca","NaCa<sub>2</sub>[Al<sub>5</sub>Si<sub>5</sub>O<sub>20</sub>]&middot;6H<sub>2</sub>O","1820"
"Margarite","CaAl<sub>2</sub>(Al<sub>2</sub>Si<sub>2</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1820"
"Chamosite","(Fe<sup>2+</sup>)<sub>5</sub>Al(Si,Al)<sub>4</sub>O<sub>10</sub>(OH,O)<sub>8</sub>","1820"
"Aegirine","NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>","1821"
"Cronstedtite","Fe<sup>2+</sup><sub>2</sub>Fe<sup>3+</sup>((Si,Fe<sup>3+</sup>)<sub>2</sub>O<sub>5</sub>)(OH)<sub>4</sub>","1821"
"Anorthite","Ca(Al<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>)","1823"
"Orthoclase","K(AlSi<sub>3</sub>O<sub>8</sub>)","1823"
"Arfvedsonite","[Na][Na<sub>2</sub>][Fe<sup>2+</sup><sub>4</sub>Fe<sup>3+</sup>]Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","1823"
"Tephroite","Mn<sup>2+</sup><sub>2</sub>SiO<sub>4</sub>","1823"
"Vermiculite","Mg<sub>0.7</sub>(Mg,Fe,Al)<sub>6</sub>(Si,Al)<sub>8</sub>O<sub>20</sub>(OH)<sub>4</sub>&middot;8H<sub>2</sub>O","1824"
"Sillimanite","Al<sub>2</sub>(SiO<sub>4</sub>)O","1824"
"Leucophanite","NaCaBeSi<sub>2</sub>O<sub>6</sub>F","1824"
"Babingtonite","Ca<sub>2</sub>(Fe,Mn)FeSi<sub>5</sub>O<sub>14</sub>(OH)","1824"
"Cummingtonite","&#9723;{Mg<sub>2</sub>}{Mg<sub>5</sub>}(Si<sub>8</sub>O<sub>22</sub>)(OH)<sub>2</sub>","1824"
"Forsterite","Mg<sub>2</sub>SiO<sub>4</sub>","1824"
"Davyne","(Na,K)<sub>6</sub>Ca<sub>2</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(Cl<sub>2</sub>,SO<sub>4</sub>)<sub>2</sub>","1825"
"Epistilbite","CaAl<sub>2</sub>Si<sub>6</sub>O<sub>16</sub>&middot;5H<sub>2</sub>O","1826"
"Halloysite","Al<sub>2</sub>(Si<sub>2</sub>O<sub>5</sub>)(OH)<sub>4</sub>","1826"
"Stilpnomelane","(K,Ca,Na)(Fe,Mg,Al)<sub>8</sub>(Si,Al)<sub>12</sub>(O,OH)<sub>36</sub>&middot;nH<sub>2</sub>O","1827"
"Nontronite","Na<sub>0.3</sub>Fe<sub>2</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1827"
"Eulytine","Bi<sub>4</sub>(SiO<sub>4</sub>)<sub>3</sub>","1827"
"Braunite","Mn<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>(SiO<sub>4</sub>)O<sub>8</sub>","1827"
"Clintonite","CaAlMg<sub>2</sub>(SiAl<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1828"
"Pectolite","NaCa<sub>2</sub>Si<sub>3</sub>O<sub>8</sub>(OH)","1828"
"Okenite","Ca<sub>10</sub>Si<sub>18</sub>O<sub>46</sub>&middot;18H<sub>2</sub>O","1828"
"Hisingerite","Fe<sup>3+</sup><sub>2</sub>(Si<sub>2</sub>O<sub>5</sub>)(OH)<sub>4</sub>&middot;2H<sub>2</sub>O","1828"
"Thorite","Th(SiO<sub>4</sub>)","1829"
"Microcline","K(AlSi<sub>3</sub>O<sub>8</sub>)","1830"
"Willemite","Zn<sub>2</sub>SiO<sub>4</sub>","1830"
"Volkonskoite","Ca<sub>0.3</sub>(Cr,Mg,Fe)<sub>2</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;4H<sub>2</sub>O","1831"
"Monticellite","CaMgSiO<sub>4</sub>","1831"
"Spessartine","Mn<sup>2+</sup><sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>","1832"
"Uvarovite","Ca<sub>3</sub>Cr<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>","1832"
"Phenakite","Be<sub>2</sub>SiO<sub>4</sub>","1833"
"Gedrite","&#9723;{Mg<sub>2</sub>}{Mg<sub>3</sub>Al<sub>2</sub>}(Al<sub>2</sub>Si<sub>6</sub>O<sub>22</sub>)(OH)<sub>2</sub>","1836"
"Edenite","NaCa<sub>2</sub>Mg<sub>5</sub>(Si<sub>7</sub>Al)O<sub>22</sub>(OH)<sub>2</sub>","1839"
"Cancrinite","(Na,Ca,&#9723;)<sub>8</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(CO<sub>3</sub>,SO<sub>4</sub>)<sub>2</sub>&middot;2H<sub>2</sub>O","1839"
"Danburite","CaB<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>","1839"
"Mosandrite-(Ce)","(Ca<sub>3</sub>REE)[(H<sub>2</sub>O)<sub>2</sub>Ca<sub>0.5</sub>&#9723;<sub>0.5</sub>]Ti(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>(OH)<sub>2</sub>(H<sub>2</sub>O)<sub>2</sub>","1839"
"Chevkinite-(Ce)","Ce<sub>4</sub>(Ti,Fe<sup>2+</sup>,Fe<sup>3+</sup>)<sub>5</sub>O<sub>8</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>","1839"
"Saponite","Ca<sub>0.25</sub>(Mg,Fe)<sub>3</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1840"
"Fayalite","Fe<sup>2+</sup><sub>2</sub>SiO<sub>4</sub>","1840"
"Antigorite","Mg<sub>3</sub>(Si<sub>2</sub>O<sub>5</sub>)(OH)<sub>4</sub>","1840"
"Phlogopite","KMg<sub>3</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1841"
"Wiserite","(Mn<sup>2+</sup>,Mg)<sub>14</sub>(B<sub>2</sub>O<sub>5</sub>)<sub>4</sub>(OH)<sub>8</sub>&middot;(Si,Mg)(O,OH)<sub>4</sub>Cl","1842"
"Wöhlerite","Na<sub>2</sub>Ca<sub>4</sub>ZrNb(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>O<sub>3</sub>F","1843"
"Astrophyllite","K<sub>2</sub>NaFe<sup>2+</sup><sub>7</sub>Ti<sub>2</sub>Si<sub>8</sub>O<sub>26</sub>(OH)<sub>4</sub>F","1844"
