"mineralName","formula","discoveryYear"
"Mirabilite","Na<sub>2</sub>SO<sub>4</sub>&middot;10H<sub>2</sub>O","1845"
"Pollucite","(Cs,Na)<sub>2</sub>(Al<sub>2</sub>Si<sub>4</sub>O<sub>12</sub>)&middot;2H<sub>2</sub>O","1846"
"Chiolite","Na<sub>5</sub>Al<sub>3</sub>F<sub>14</sub>","1846"
"Montmorillonite","(Na,Ca)<sub>0.33</sub>(Al,Mg)<sub>2</sub>(Si<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1847"
"Hydrohalite","NaCl&middot;2H<sub>2</sub>O","1847"
"Alluaudite","(Na,Ca)Mn<sup>2+</sup>(Fe<sup>3+</sup>,Mn<sup>2+</sup>,Fe<sup>2+</sup>,Mg)<sub>2</sub>(PO<sub>4</sub>)<sub>3</sub>","1848"
"Ulexite","NaCa[B<sub>5</sub>O<sub>6</sub>(OH)<sub>6</sub>]&middot;5H<sub>2</sub>O","1850"
"Stercorite","(NH<sub>4</sub>)Na(PO<sub>3</sub>OH)&middot;4H<sub>2</sub>O","1850"
"Catapleiite","Na<sub>2</sub>Zr(Si<sub>3</sub>O<sub>9</sub>)&middot;2H<sub>2</sub>O","1850"
"Gyrolite","NaCa<sub>16</sub>Si<sub>23</sub>AlO<sub>60</sub>(OH)<sub>8</sub>&middot;14H<sub>2</sub>O","1851"
"Ephesite","NaLiAl<sub>2</sub>(Al<sub>2</sub>Si<sub>2</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1851"
"Meliphanite","(Ca,Na)<sub>2</sub>(Be,Al)[Si<sub>2</sub>O<sub>6</sub>(OH,F)]","1852"
"Lecontite","(NH<sub>4</sub>,K)NaSO<sub>4</sub>&middot;2H<sub>2</sub>O","1858"
"Pachnolite","NaCa[AlF<sub>6</sub>]&middot;H<sub>2</sub>O","1863"
"Jadeite","Na(Al,Fe<sup>3+</sup>)Si<sub>2</sub>O<sub>6</sub>","1863"
"Mordenite","(Na<sub>2</sub>,Ca,K<sub>2</sub>)<sub>4</sub>(Al<sub>8</sub>Si<sub>40</sub>)O<sub>96</sub>&middot;28H<sub>2</sub>O","1864"
"Richterite","Na(NaCa)Mg<sub>5</sub>(Si<sub>8</sub>O<sub>22</sub>)(OH)<sub>2</sub>","1865"
"Aenigmatite","Na<sub>4</sub>[Fe<sup>2+</sup><sub>10</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>]","1865"
"Marialite","Na<sub>4</sub>Al<sub>3</sub>Si<sub>9</sub>O<sub>24</sub>Cl","1866"
"Mendozite","NaAl(SO<sub>4</sub>)<sub>2</sub>&middot;11H<sub>2</sub>O","1868"
"Durangite","NaAl(AsO<sub>4</sub>)F","1869"
"Hydrokenoralstonite"," Na<sub>0.5</sub>(Al,Mg)<sub>2</sub>(F,OH)<sub>6</sub>&middot;H<sub>2</sub>O ","1871"
"Microsommite","Na<sub>4</sub>K<sub>2</sub>Ca<sub>2</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(SO<sub>4</sub>)Cl<sub>2</sub>","1872"
"Stevensite","(Ca,Na)<sub>x</sub>Mg<sub>3-x</sub>(Si<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1873"
"Dawsonite","NaAlCO<sub>3</sub>(OH)<sub>2</sub>","1874"
"Caryinite","(Na,Pb)(Ca,Na)CaMn<sup>2+</sup><sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>","1874"
"Sauconite","Na<sub>0.3</sub>Zn<sub>3</sub>((Si,Al)<sub>4</sub>O<sub>10</sub>)(OH)<sub>2</sub>&middot;4H<sub>2</sub>O","1875"
"Låvenite","Na<sub>2</sub>Ca<sub>2</sub>Mn<sub>2</sub>Zr<sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>O<sub>2</sub>F<sub>2</sub>","1875"
"Aerinite","(Ca<sub>5.1</sub>Na<sub>0.5</sub>)(Fe<sup>3+</sup>,Al,Fe<sup>2+</sup>,Mg)<sub>4</sub>(Al,Mg)<sub>6</sub>[HSi<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>][(CO<sub>3</sub>)<sub>1.2</sub>(H<sub>2</sub>O)<sub>12</sub>]","1876"
"Dickinsonite-(KMnNa)","(KNa)(Mn<sup>2+</sup>&#9723;)Ca(Na<sub>2</sub>Na)Mn<sup>2+</sup><sub>13</sub>Al(PO<sub>4</sub>)<sub>11</sub>(PO<sub>4</sub>)(OH)<sub>2</sub>","1878"
"Sideronatrite","Na<sub>2</sub>Fe(SO<sub>4</sub>)<sub>2</sub>(OH)&middot;3H<sub>2</sub>O","1878"
"Tincalconite","Na<sub>2</sub>(B<sub>4</sub>O<sub>7</sub>)&middot;5H<sub>2</sub>O","1878"
"Fillowite","Na<sub>3</sub>CaMn<sup>2+</sup><sub>11</sub>(PO<sub>4</sub>)<sub>9</sub>","1879"
"Litidionite","CuNaKSi<sub>4</sub>O<sub>10</sub>","1880"
"Dravite","NaMg<sub>3</sub>Al<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","1883"
"Hanksite","Na<sub>22</sub>K(SO<sub>4</sub>)<sub>9</sub>(CO<sub>3</sub>)<sub>2</sub>Cl","1883"
"Metavoltine","K<sub>2</sub>Na<sub>6</sub>Fe<sup>2+</sup>Fe<sup>3+</sup><sub>6</sub>O<sub>2</sub>(SO<sub>4</sub>)<sub>12</sub>&middot;18H<sub>2</sub>O","1883"
"Kaersutite","NaCa<sub>2</sub>(Mg<sub>3</sub>AlTi<sup>4+</sup>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>O<sub>2</sub>","1884"
"Rinkite-(Ce)","(Ca<sub>3</sub>Ce)Na(NaCa)Ti(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>(OF)F<sub>2</sub>","1884"
"Caracolite","Na<sub>3</sub>Pb<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>Cl","1886"
"Eudidymite","Na<sub>2</sub>Be<sub>2</sub>Si<sub>6</sub>O<sub>15</sub>&middot;H<sub>2</sub>O","1887"
"Rosenbuschite","Na<sub>6</sub>Ca<sub>6</sub>Zr<sub>3</sub>Ti(Si<sub>2</sub>O<sub>7</sub>)<sub>4</sub>O<sub>2</sub>F<sub>6</sub>","1887"
"Arseniopleite","NaCaMnMn<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>","1888"
"Beryllonite","NaBePO<sub>4</sub>","1888"
"Riebeckite","&#9723;[Na<sub>2</sub>][Fe<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup><sub>2</sub>]Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","1888"
"Tamarugite","NaAl(SO<sub>4</sub>)<sub>2</sub>&middot;6H<sub>2</sub>O","1889"
"Hiortdahlite","Na<sub>2</sub>Ca<sub>4</sub>(Ca<sub>0.5</sub>Zr<sub>0.5</sub>)Zr(Si<sub>2</sub>O<sub>7</sub>)2OF<sub>3</sub>","1889"
"Ferrinatrite","Na<sub>3</sub>Fe(SO<sub>4</sub>)<sub>3</sub>&middot;3H<sub>2</sub>O","1889"
"Ganophyllite","(K,Na,Ca)<sub>2</sub>Mn<sub>8</sub>(Si,Al)<sub>12</sub>(O,OH)<sub>32</sub>&middot;8H<sub>2</sub>O","1890"
"Lazurite","Na<sub>7</sub>Ca(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(SO<sub>4</sub>)(S<sub>3</sub>)&middot;H<sub>2</sub>O","1890"
"Natrophilite","NaMn<sup>2+</sup>PO<sub>4</sub>","1890"
"Griphite","Na<sub>4</sub>Li<sub>2</sub>Ca<sub>6</sub>(Mn<sup>2+</sup>,Fe<sup>2+</sup>,Mg)<sub>19</sub>Al<sub>8</sub>(PO<sub>4</sub>)<sub>24</sub>(F,OH)<sub>8</sub>","1891"
