"mineralName","formula","discoveryYear"
"Omphacite","(Na<sub>a</sub>Ca<sub>b</sub>Fe<sup>2+</sup><sub>c</sub>Mg<sub>d</sub>)(Al<sub>e</sub>Fe<sup>3+</sup><sub>f</sub>Fe<sup>2+</sup><sub>g</sub>Mg<sub>h</sub>)Si<sub>2</sub>O<sub>6</sub>","1815"
"Gehlenite","Ca<sub>2</sub>Al[AlSiO<sub>7</sub>]","1815"
"Albite","Na(AlSi<sub>3</sub>O<sub>8</sub>)","1815"
"Mesolite","Na<sub>2</sub>Ca<sub>2</sub>Si<sub>9</sub>Al<sub>6</sub>O<sub>30</sub>&middot;8H<sub>2</sub>O","1816"
"Allophane","(Al<sub>2</sub>O<sub>3</sub>)(SiO<sub>2</sub>)<sub>1.3-2</sub>&middot;2.5-3H<sub>2</sub>O","1816"
"Amblygonite","LiAl(PO<sub>4</sub>)F","1817"
"Carpholite","Mn<sup>2+</sup>Al<sub>2</sub>(Si<sub>2</sub>O<sub>6</sub>)(OH)<sub>4</sub>","1817"
"Plumbogummite","PbAl<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)(OH)<sub>6</sub>","1819"
"Thomsonite-Ca","NaCa<sub>2</sub>[Al<sub>5</sub>Si<sub>5</sub>O<sub>20</sub>]&middot;6H<sub>2</sub>O","1820"
"Margarite","CaAl<sub>2</sub>(Al<sub>2</sub>Si<sub>2</sub>O<sub>10</sub>)(OH)<sub>2</sub>","1820"
"Chamosite","(Fe<sup>2+</sup>)<sub>5</sub>Al(Si,Al)<sub>4</sub>O<sub>10</sub>(OH,O)<sub>8</sub>","1820"
"Gibbsite","Al(OH)<sub>3</sub>","1822"
"Anorthite","Ca(Al<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>)","1823"
"Childrenite","Fe<sup>2+</sup>Al(PO<sub>4</sub>)(OH)<sub>2</sub>&middot;H<sub>2</sub>O","1823"
"Orthoclase","K(AlSi<sub>3</sub>O<sub>8</sub>)","1823"
"Vermiculite","Mg<sub>0.7</sub>(Mg,Fe,Al)<sub>6</sub>(Si,Al)<sub>8</sub>O<sub>20</sub>(OH)<sub>4</sub>&middot;8H<sub>2</sub>O","1824"
"Alunite","KAl<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","1824"
"Fluellite","Al<sub>2</sub>(PO<sub>4</sub>)F<sub>2</sub>(OH)&middot;7H<sub>2</sub>O","1824"
"Sillimanite","Al<sub>2</sub>(SiO<sub>4</sub>)O","1824"
"Davyne","(Na,K)<sub>6</sub>Ca<sub>2</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(Cl<sub>2</sub>,SO<sub>4</sub>)<sub>2</sub>","1825"
